date,city,high_temp_f,precip_inches,rain_flag,severe_weather_flag
2025-01-01,Nolensville,38.8,0.0,0,0
2025-01-01,Franklin,43.4,0.0,0,0
2025-01-01,Brentwood,52.7,0.0,0,0
2025-01-01,Spring Hill,47.0,0.0,0,0
2025-01-01,Nashville,40.0,0.08,1,0
2025-01-02,Nolensville,54.3,0.0,0,0
2025-01-02,Franklin,44.8,0.0,0,0
2025-01-02,Brentwood,26.0,0.27,1,0
2025-01-02,Spring Hill,50.9,0.0,0,0
2025-01-02,Nashville,38.0,0.0,0,0
2025-01-03,Nolensville,46.5,0.35,1,0
2025-01-03,Franklin,38.4,0.0,0,0
2025-01-03,Brentwood,55.0,0.35,1,0
2025-01-03,Spring Hill,43.4,0.0,0,0
2025-01-03,Nashville,44.8,0.0,0,0
2025-01-04,Nolensville,37.1,0.0,0,0
2025-01-04,Franklin,36.9,0.0,0,0
2025-01-04,Brentwood,42.8,0.0,0,0
2025-01-04,Spring Hill,43.2,0.0,0,0
2025-01-04,Nashville,44.4,0.0,0,0
2025-01-05,Nolensville,55.7,0.53,1,0
2025-01-05,Franklin,33.6,0.0,0,0
2025-01-05,Brentwood,54.1,0.18,1,0
2025-01-05,Spring Hill,51.2,0.2,1,0
2025-01-05,Nashville,46.8,0.0,0,0
2025-01-06,Nolensville,37.6,0.0,0,0
2025-01-06,Franklin,48.3,0.0,0,0
2025-01-06,Brentwood,52.1,0.0,0,0
2025-01-06,Spring Hill,34.7,0.0,0,0
2025-01-06,Nashville,52.2,0.14,1,0
2025-01-07,Nolensville,58.3,0.0,0,0
2025-01-07,Franklin,51.4,0.0,0,0
2025-01-07,Brentwood,50.0,0.0,0,0
2025-01-07,Spring Hill,44.9,0.0,0,0
2025-01-07,Nashville,64.4,0.18,1,0
2025-01-08,Nolensville,38.9,0.15,1,0
2025-01-08,Franklin,53.5,0.33,1,0
2025-01-08,Brentwood,45.6,0.0,0,0
2025-01-08,Spring Hill,42.9,0.0,0,0
2025-01-08,Nashville,45.2,0.0,0,0
2025-01-09,Nolensville,42.4,0.0,0,0
2025-01-09,Franklin,50.7,0.0,0,0
2025-01-09,Brentwood,44.2,0.0,0,0
2025-01-09,Spring Hill,41.5,0.0,0,0
2025-01-09,Nashville,52.8,0.0,0,0
2025-01-10,Nolensville,39.1,0.0,0,0
2025-01-10,Franklin,46.8,0.0,0,0
2025-01-10,Brentwood,32.6,0.05,1,0
2025-01-10,Spring Hill,43.4,0.0,0,0
2025-01-10,Nashville,42.3,0.17,1,0
2025-01-11,Nolensville,51.5,0.0,0,0
2025-01-11,Franklin,51.9,0.39,1,0
2025-01-11,Brentwood,38.8,0.27,1,0
2025-01-11,Spring Hill,59.5,0.0,0,0
2025-01-11,Nashville,63.5,0.68,1,0
2025-01-12,Nolensville,39.0,0.0,0,0
2025-01-12,Franklin,45.2,0.0,0,0
2025-01-12,Brentwood,47.6,0.0,0,0
2025-01-12,Spring Hill,46.5,0.0,0,0
2025-01-12,Nashville,53.7,0.56,1,0
2025-01-13,Nolensville,38.7,0.15,1,0
2025-01-13,Franklin,52.8,0.93,1,1
2025-01-13,Brentwood,40.2,0.0,0,0
2025-01-13,Spring Hill,45.6,0.21,1,0
2025-01-13,Nashville,35.7,0.0,0,0
2025-01-14,Nolensville,40.5,0.0,0,0
2025-01-14,Franklin,38.4,0.0,0,0
2025-01-14,Brentwood,49.6,0.0,0,0
2025-01-14,Spring Hill,46.5,0.0,0,0
2025-01-14,Nashville,33.1,0.0,0,0
2025-01-15,Nolensville,38.5,0.33,1,0
2025-01-15,Franklin,36.7,0.0,0,0
2025-01-15,Brentwood,40.2,0.0,0,0
2025-01-15,Spring Hill,48.1,0.0,0,0
2025-01-15,Nashville,51.3,0.0,0,0
2025-01-16,Nolensville,46.0,0.47,1,0
2025-01-16,Franklin,43.2,0.0,0,0
2025-01-16,Brentwood,40.3,0.27,1,0
2025-01-16,Spring Hill,41.5,0.0,0,0
2025-01-16,Nashville,41.4,0.68,1,0
2025-01-17,Nolensville,40.0,0.0,0,0
2025-01-17,Franklin,42.1,0.0,0,0
2025-01-17,Brentwood,53.1,0.0,0,0
2025-01-17,Spring Hill,43.1,0.77,1,0
2025-01-17,Nashville,37.6,0.0,0,0
2025-01-18,Nolensville,42.6,0.0,0,0
2025-01-18,Franklin,46.0,0.0,0,0
2025-01-18,Brentwood,48.5,1.03,1,1
2025-01-18,Spring Hill,52.4,0.0,0,0
2025-01-18,Nashville,47.6,0.0,0,0
2025-01-19,Nolensville,41.5,0.0,0,0
2025-01-19,Franklin,52.3,0.0,0,0
2025-01-19,Brentwood,47.9,0.0,0,0
2025-01-19,Spring Hill,43.8,0.63,1,0
2025-01-19,Nashville,53.4,0.0,0,0
2025-01-20,Nolensville,26.8,0.0,0,0
2025-01-20,Franklin,56.0,0.0,0,0
2025-01-20,Brentwood,40.7,0.83,1,1
2025-01-20,Spring Hill,45.1,0.0,0,0
2025-01-20,Nashville,57.2,0.0,0,0
2025-01-21,Nolensville,51.1,0.0,0,0
2025-01-21,Franklin,37.8,0.0,0,0
2025-01-21,Brentwood,43.9,0.0,0,0
2025-01-21,Spring Hill,31.1,0.0,0,0
2025-01-21,Nashville,49.7,0.36,1,0
2025-01-22,Nolensville,37.1,0.0,0,0
2025-01-22,Franklin,48.1,0.31,1,0
2025-01-22,Brentwood,55.9,0.0,0,0
