service_id,service_name,service_category,billing_type,jobs_completed,revenue,gross_profit,gross_margin_pct,avg_labor_variance_pct,avg_material_variance_pct,avg_customer_rating
1,Lawn Mowing,Recurring Maintenance,recurring,14091,1001233.8600000009,528712.71,0.5280611564614879,0.011882568589648602,0.0007968660432252374,4.607664466680912
7,Hardscape Installation,Project,one-time,65,455861.1800000002,184296.37,0.4042817815721881,0.06192171173841016,0.045669726830212996,4.6107692307692325
6,Landscape Installation,Project,one-time,112,422728.33,183341.2499999999,0.4337093991311155,0.016462733470680363,0.00829391981239032,4.6125
10,Sod Installation,Project,one-time,124,334182.06,139128.1499999999,0.4163244131058379,0.04364447115369409,0.018881134180234925,4.551612903225805
2,Fertilization & Weed Control,Recurring Maintenance,recurring,2835,323532.8000000009,188038.62999999998,0.5812042241157602,0.01249971037213808,0.001980107528025819,4.663139329805983
3,Mulch & Bed Maintenance,Enhancement,one-time,168,106060.62,47017.10999999999,0.44330412173717254,0.03398121942089436,0.010105424701850127,4.566071428571426
8,Shrub & Tree Trimming,Enhancement,one-time,134,81036.59999999996,51043.86000000002,0.6298864957315589,0.02322447456156137,0.026149943568973908,4.591044776119404
4,Aeration & Overseeding,Seasonal,one-time,124,54622.58,29387.410000000003,0.5380084573083147,0.009582973304734002,-0.001196750078702694,4.553225806451611
5,Leaf Cleanup,Seasonal,one-time,88,34360.329999999994,22038.21999999999,0.6413855745855757,0.014935221324964972,-0.016128724564677514,4.564772727272727
9,Irrigation Service,Service,one-time,76,26340.940000000002,13899.09,0.5276611237108471,0.04618312186359658,0.010563070050852686,4.564473684210525
